Title,ID,Website URL,Sectors,Simplified Sector Mapping,Endorsed,Provider type 1,Provider type 2,Lead provider,Growth hub / Catapult,DEAD,Regions,Type of programme,One to watch,Support available,Programme costs,Offerings,Other delivery partners,Public funded,Year programme started,Lead contact name,Lead contact email,Thumbnail image,Filter,Categories,Themes,Copy,Locations_map_point_address,Locations_map_point_street_name,Locations_map_point_street_short_name,Locations_map_point_city,Locations_map_point_state,Locations_map_point_state_short,Locations_map_point_post_code,Locations_map_point_country,Co-ordinates
Scottish Equity Partners,15378,https://www.sep.co.uk/,Technology & Communications,Technology,1,Provider type>Private sector,,Scottish Equity Partners,,,UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered in exchange for equity,Service,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/SEP-2.png,Financier,,Finance,"<a href=""https://www.sep.co.uk/"">Scottish Equity Partners (SEP)</a> is a late stage venture and growth equity investor focused on technology and technology-enabled companies based in the UK and Ireland, and selectively in other parts of Europe. It has offices in Edinburgh, Glasgow and London. Over the last 20 years it has invested in more than 160 companies.

The firm invests between £5m to £25m but also funds larger deals, co-investing with others, including its own fund investors. Between the period of January 2016 to June 2023, the firm has participated in 17 fundraisings for 12 scaling businesses.

SEP plays an active and supportive role in the growth and development of its portfolio companies. It has a strong track record in supporting its portfolio companies with talent acquisition, building leadership capability, and assisting international growth. The firm describes itself as a specialist in supporting businesses to internationalise and to increase their revenues from less than £10m to £100m and beyond.

Its current portfolio generate over £1.5bn of revenues and employs more than 6,500 people. Scaleups in its current portfolio include open source software company <a href=""https://tyk.io/"">Tyk</a>, cloud communications specialist <a href=""https://www.contentguru.com/en-gb/"">Content Guru</a>, regtech <a href=""https://www.fundapps.co/"">FundApps</a>, handicraft digital platform <a href=""https://www.lovecrafts.com/en-gb/"">LoveCrafts</a> and the fintech <a href=""https://www.totallymoney.com/"">Totally Money</a>.

The firm, which is a signatory to the <a href=""https://www.womeninfinance.org.uk/c8061cb8-3ebc-44f7-9169-54e30b82aed3"">Women in Finance Charter</a>, has a 38% female representation in its senior management positions. It provides financial support to the Strathclyde Entrepreneurs Fund, which provides early stage investment in companies and ventures run by University of Strathclyde staff, students and alumni. It publishes an annual <a href=""https://www.sep.co.uk/wp-content/uploads/2023/07/SEP-investing-responsibly-ESG-report-2023-1.pdf"">“Investing Responsibly” report</a> in which it benchmarks its portfolio companies’ performance on ESG issues.",|,Great Marlborough Street|Blythswood Square,|,|,England|Scotland,England|Scotland,W1F 7JL,United Kingdom|United Kingdom,"51.51417,-0.13866"
Sharing in Growth (SiG),15403,https://www.sig-uk.org/,Engineering / Advanced Engineering,Advanced Manufacturing,1,Provider type>Public/hybrid mix,,Sharing in Growth,,,UK,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building|Skills training,Delivered for a fee,Programme,,,2013,Andy Page,andy.page@sig-uk.org,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/sharing-in-growth-2.jpg,Support Offer,,Access to markets,"
Launched in 2013, Sharing in Growth’s (SiG) aim is to support scaling businesses in the UK’s manufacturing and engineering supply chains to improve their productivity and competitiveness and be better placed to win a share of global markets. Over the last 10 years SiG has collaborated with over 100 companies across a range of industries, initially focused on aerospace it now supports diverse busineses including  defence, offshore renewables, medical (NHS), Modular Methods of Construction (MMC), and nuclear sectors.

Supported by a team of 100 business coaches, scaling firms with turnover between £5m-£100m, are offered long-term, intensive and holistic leadership and management support. Over four years, a typical beneficiary receives around £1m worth of training and development. There is no upfront funding commitment, however businesses are asked to match the value of support in-kind.

The programme is delivered over three phases: first, a whole firm diagnostics assessment; second a “develop” phase of high intensity training over two years; and finally, a “sustain” phase over 2-3 years to ensure that support is embedded. Throughout this period, alongside assistance from their business coach, scaling businesses receive support from a network of 19 specialist partners including the University of Cambridge’s Institute for Manufacturing, Deloitte, Multiverse and the National Physical Laboratory. Launched in 2022, SiG also provides an online learning platform to supplement onsite coaching and increase the speed and impact of business transformation. It covers 10 key areas including operational excellence, lean leadership behaviours, quality, and supply chain management.

The last few years’ complex economic challenges due to Covid-19 and the transition to new trading arrangements with Europe and beyond has made the key programme deliverables of accelerating productivity, diversifying and winning new customers vital. The programme’s independent assessment, published in 2021 by BEIS, showed significant impact and specifically on employment and turnover. Scaling businesses completing the programme, showed 30% more average turnover growth than the control group companies. Additionally, participants reported a positive impact of SiG on leadership attitudes and behaviours and business strategy. This resulted in improvements in wider workforce engagement, confidence and behaviour to implement changes within businesses.
“Since the start of our partnership, the support of Sharing in Growth has helped Rockford to develop our business significantly, transform our culture, create a farsighted strategy and deliver operational performance in line with world-class practices. As a result, we have secured c. £30 million in contracts and grown our workforce by 50%.”
Peter Lion, Managing Director, Rockford",,,,,,,DE24 8BJ,,"52.91494,-1.46562"
Babraham Research Campus,15409,https://www.babraham.com/,Life Sciences & Biotech,Life Sciences,1,Provider type>Private sector,,Babraham Research Campus,,,East of England,ScaleUp Institute Endorsed/One to Watch,,Access to peer networks|Access to talent and skills|Financial support/access|Leadership development/capacity building|Office space/hubs that focus on scaleups|Support for R&D and/or innovation,Delivered for a fee,Service,,,,,info@babraham.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Babraham-web-2.png,Support Offer,,Infrastructure,"Babraham Research Campus is a highly connected, sustainable and dynamic ecosystem. It is focused on creating new discoveries, therapeutics, jobs and growth to support the UK economy. It aims to be a leading sustainable ecosystem and one of the best places in the world for discovery bioscience research and innovation. It brings together world leading bioscience research and business to accelerate scientific discovery and to help build and scale businesses. 

Scaleups are part of a supportive campus infrastructure and have access to laboratories and offices via short-term leases, giving them the opportunity to grow into larger spaces when they evolve. The Accelerate@Babraham bioincubator programme provides additional support for early-stage life science scaleups and is recognised by Labiotech as one of the top 25 such incubators in Europe. The five-month programme includes tailored scientific, business, and technical support, free lab space, access to the Cambridge Cluster network, investor introductions and access to £10k of non-diluted funding. To join the programme, companies undergo an annual competitive application and pitching process. Up to five early-stage ventures are selected  as part of each cohort to experience life as part of the Babraham Research Campus.

Additionally for scaleups seeking investment, the annual Babraham Investor Conference, last held in September 2023, provides a collaborative and information environment that brings together hundreds of investors, companies and industry leaders in order to facilitate access to venture capital investment. 

In October 2023, the Campus announced that, in partnership with BioMed Realty, it will be opening a new 34,000 square feet purpose-built facility in order to address the growing demand for lab space in Cambridge. Key tenants moving into expansive scale-up labs within the new building, scheduled to open in early 2024, include scaling businesses Xap Therapeutics and Mosaic Therapeutics.

In a 2020 review of the Campus’ economic impact, Campus-based companies estimated that they had on average accelerated their fundraising by three months and increased the amount of funds raised by 10%.  It is also estimated that employee numbers of resident firms are around 20% larger than they otherwise may have been due to the Campus location. The total market value of the largest 14 companies on site was calculated to be £5bn. ",,,,,England,England,CB22 3AT,United Kingdom,"52.13268,0.20544"
FCA Regulatory Sandbox,15416,https://www.fca.org.uk/firms/regulatory-sandbox,Finance,Fintech,1,Provider type>Public/hybrid mix,,Financial Conduct Authority,,,UK,ScaleUp Institute Endorsed/One to Watch,,Access to corporate collaboration|Office space/hubs that focus on scaleups|Support for R&D and/or innovation,Free,Service,,,2016,,sandbox@fca.org.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/FCA-web-2.png,Support Offer,,Infrastructure,"The Financial Conduct Authority’s Regulatory Sandbox, launched in 2016, provides a testing environment for innovative products and services in the real market with real customers. Its successful model has now been replicated across the globe, including Africa, East Asia and the Pacific regions.

Since its launch in 2016, the Regulatory Sandbox has operated on a cohort basis, but in August 2021, it moved to an always open model, allowing firms to submit their applications throughout the year, an approach also encouraged by the Kalifa Review of UK Fintech. Firms can now access testing services at any point throughout the year, at the point and time that is right in their development lifecycle. 

Under this new model, 22 firms have been accepted onto the programme, with their propositions operating across the retail lending, retail investments, retail banking, payments and wholesale sectors. The main types of innovation have continued to be dominated by data and technology infrastructure, with firms using AI/machine learning and predictive analytics, distributed ledger technology (DLT) / blockchain technology, open banking, APIs and digital ID. 

This year, following the successes of two Digital Sandbox pilots, the FCA launched the permanent FCA Digital Sandbox. The evaluation reports from the pilots have concluded that the Digital Sandbox initiative addresses the needs of early-stage and scaling firms, especially in the networking and collaboration. Almost 6 in 10 of the scaling participants have reported positive progress which has included securing  funding and partnership, launching products or receiving industry rewards and recognitions. Innovators across all financial service sectors can join the programme and to date, 58 participants are included across 9 themes: Consumer Investments Advice & Distribution; Cross-sectors & Other; Fund & Investment Management; Infrastructure & Exchange; Insurance; Payments; Retail Banking; Retail Lending; and Wholesale Banks & Intermediaries.

In 2022, FCA also launched the ‘Innovation Pathways’ programme, a bespoke support service for firms that are not yet ready to test but need help understanding the FCA regulatory regime prior to doing so. The programme helps businesses understand the process; regulation rules, the implications for their business model, and what they need to do to launch a regulated business. To achieve this, dedicated case managers, customised signposting, discussions and feedback with FCA subject matter experts, informal steers, pre-authorisation meetings, an assigned Authorisations case handler and dedicated supervisory support are available to support them. 

FCA also serves as chair for the Global Financial Innovation Network (GFIN), launched in 2019, bringing together over 70 international organisations committed to supporting financial innovation in the interests of consumers. Members include the Australian Securities and Investments Commission, the USA’s Consumer Financial Protection Bureau and Hong Kong Securities and Futures Commission. Building on the model developed by the FCA Sandbox, it has developed a cross-border testing environment for scaleups.",,,,,England,England,E20 1JN,United Kingdom,"51.54201,-0.00933"
Stevenage Bioscience Catalyst,15419,https://www.stevenagecatalyst.com/,Life Sciences & Biotech,Life Sciences,1,Provider type>Public/hybrid mix,,Stevenage Bioscience Catalyst,,,East of England,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building|Office space/hubs that focus on scaleups|Skills training|Support for R&D and/or innovation,Delivered for a fee,Service,,,,,Reception@stevenagecatalyst.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/05/SBClogo.png,Ecosystem,,Infrastructure,"Stevenage Bioscience Catalyst (SBC) was formed through a collaboration between the Department for Business, Energy and Industrial Strategy (BEIS), GlaxoSmithKline, Wellcome and Innovate UK. Closely  connected with ecosystems in London and Cambridge, it aims to support a globally recognised and vibrant hub that brings together academics, biotech and pharma organisations in a spirit of collaboration and partnership.  In 2023, Stevenage Bioscience Catalyst, in collaboration with Forge, announced that it will expand to become one of Europe’s largest Life Science campuses. The development includes the largest cluster of cell and gene therapy companies outside of the USA.

The campus supports resident companies to grow and scale at pace. Lab and office space is provided along with scientific and business expertise. This includes access to peer networks, mentoring, funding, expertise, scientific equipment and facilities to enable businesses to scale and innovate.

Scaleups are supported to overcome key challenges including access to talent, markets and finance and have access to specialist facilities and equipment, including a dedicated Catapult onsite training lab. The ‘DATA accelerator’ programme fosters leadership, equips scaleup leaders with business and commercial skills and connects scaleups with investors. In the most recent cohort, each scaleup in the accelerator programme was connected to 38 industry leading experts and, on average, the participating scaleups followed up with private conversations with up to four experts. In addition, SBC’s dedicated Entrepreneurship and Business Development Director facilitates introductions to grant funding, investors and venture capitalists.  

Flexible infrastructure is key to SBC’s offer. Campus-based Lab Hotel offers laboratory space to eight scaleups a year. Around 70% of the companies that have been through the Lab Hotel have then continued to take lab space at SBC. Around 45 companies have access to the Cytiva tech lab and the campus’ New Spark building creates space for 100 jobs.

Its newly announced Life Sciences hub – the Elevate Quarter - will run alongside GSK’s existing global R&D facility and the wider SBC ecosystem. A partnership between UBS Asset Management and Reef Group, the new 1.6 million square foot campus will include office and lab space as well as Good Manufacturing Practices facilities and will create up to 5,000 new jobs. Construction is scheduled to start later this year. 

Since opening in 2012, SBC has hosted a total of 92 scaling companies, 65 with occupational leases and a further 27 with virtual leases, while 3 companies have established offices in the US. In 2023, 884 jobs were created by SBC companies which also expect to increase employment by an average of 50% in the next 18 months. Companies  also reported that being based at SBC meant that product development was on average nine months faster and research accelerated by six months.

There remains a strong focus on the talent pipeline and there are around 13 active apprenticeships in addition to 12 with GSK. SBC’s Generation Stevanage initiative and summer school promote apprenticeships, training and career opportunties; while the campus-based medical research charity LifeArc supports sandwich placements for students aged 10-12 year-long and 10-15 PhD CASE students.",,,,,England,England,SG1 2FX,United Kingdom,"51.88493,-0.20197"
Digital Catapult,15432,https://www.digicatapult.org.uk/,Technology & Communications,Technology,,Provider type>Public/hybrid mix,,UKRI Innovate UK,,,UK,ScaleUp Institute Endorsed/One to Watch,1,Access to corporate collaboration|Support for R&D and/or innovation|Support to access public/private sector procurement,Free,Service,,,2013,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/digital-catapult-2.png,,,Infrastructure,"Digital Catapult breaks down barriers to scaling up by de-risking innovation, opening up new markets and supporting scaleups to responsibly shape the products, services and experiences of the future. Supporting scaling and pipeline businesses through accelerator and open innovation programmes, it drives early adoption of advanced digital technologies.

Since 2018, the Catapult has supported more than 3,000 companies in 50+ accelerator cohorts. Collectively, these companies have raised over £556 million and created over 2,000 high value tech jobs.

Digital Catapult's flagship support system FutureScope, launched in 2021, brings together a diverse range of acceleration programmes for early stage and scaling businesses. These foster collaboration across technologies, business stages and markets and address real-world challenges through innovation in immersive technologies; artificial intelligence and machine learning; future networks, including 5G and IoT technologies; and distributive systems such as distributed ledger technologies.

The Catapult offers participating scaleups access to facilities including labs and testbeds. Tailored support, mentorship and a masterclass series are designed to help scaleups identify fundraising options and access finance. Further support focuses on business ethics.

In 2023, Digital Catapult launched the <span style=""color: #ff9900;""><a style=""color: #ff9900;"" href=""https://streaklinks.com/BtFiqsYUVI-viAPDrgmXqqcs/https%3A%2F%2Fwww.digicatapult.org.uk%2Fabout%2Fpress-releases%2Fpost%2Fbridge-ai%2F"">Innovate UK Bridge AI programme</a></span>, a £100m programme and fund in collaboration with Innovate UK and The Alan Turing Institute to drive the adoption of AI into four industries in the UK which have been identified as having significant opportunity which is not currently being leveraged: Construction, Transport, Agriculture and Creative industries. The funding targets AI developers, early stage scaling and scaleup companies in these sectors who want to develop / adopt AI into their businesses.

Created in 2013, the Catapult has centres in London, the North East, the Tees Valley and in Northern Ireland. It is government supported and works with a nationwide network of partners.",NW1 2RA,SR1 1PB,BT2 8HS,BS1 5DD,,,nan,,
Level39,15433,https://www.level39.co/,Technology & Communications,Technology,,Provider type>Private sector,,Level39,,,South East,ScaleUp Institute Endorsed/One to Watch,1,Access to corporate collaboration|Access to peer networks|Access to talent and skills|Leadership development/capacity building|Office space/hubs that focus on scaleups|Support for R&D and/or innovation|Support to access public/private sector procurement|Support to enter international markets,Delivered for a fee,Service,,,2013,,members@level39.co,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Level39.png,Support Offer,,Infrastructure,"Owned wholly by the Canary Wharf Group, Level39 launched in March 2013. It supports fast-growth early-stage and scaling businesses in tech sectors. The 80,000 square foot innovation space in Canary Wharf’s One Canada Square offers to its members access to customers, talent and flexible infrastructure. 

The hub is home to 180 pipeline and scaling businesses and operates on a membership model which also includes an Ecosystem Membership – a virtual membership, for overseas entrepreneurs looking to tap into and build their business profile in the UK. The workspace offers a dynamic ecosystem giving scaleups access to mentors, investors and peers, as well as events that encourage collaboration and partnerships. 

As a subsidiary of the Canary Wharf Group, it offers flexible space to ambitious and scaleup companies many of whom lease space in the East London business district. Level39 is developing its role in the scaleup ecosystem in response to member needs. This includes investment in new advanced technology for event space, meeting and board rooms as well as enhanced quiet zones and collaboration and wellness space. 

Additionally, Level39 works with organisations such as InChorus, London & Partners, Innovate Finance and a pool of mentors, investors and partners to provide support to members in areas such as funding, access to customers, ED&I, international markets and talent. To date, Level39 member companies have raised over £1bn in finance.

In the last 12 months the Canary Wharf Group, in collaboration with Kadans Science Partner, secured planning approval to develop a commercial health and life sciences building at the North Quay site, to support the existing health and life sciences community across Canary Wharf. The 23-storey 823,000 sq ft tower is expected to be completed in 2027 and will be the first of its kind vertical campus, Europe’s largest and most technologically advanced life sciences facility.",,Canada Square,,,,,E14 5AB,,"51.50494,-0.01952"
Grow London Global,15436,https://www.grow.london/global,Environmental Science & Technology|Finance|Life Sciences & Biotech|Creative,Creative Industries,1,Provider type>Public/hybrid mix,,Grow London,,,London,ScaleUp Institute Endorsed/One to Watch,,Support to enter international markets,Free,Programme,London & Partners,Public/ Hybrid,2016,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2024/03/Grow-London-Global-Logo.png,Support Offer,,Access to markets,"In 2023, the Mayor of London’s International Business Programme (MBIP) rebranded as Grow London Global. Grow London Global is a free 12-month programme open to London-based scaleups with an annual turnover greater than £1m and less than £40m, or those that have secured £1m of external equity investment, and that employ between 10 and 250 people.

Over the past seven years the programme has helped more than 1,400 ambitious London scaleups to expand their businesses internationally. Participants span sectors including fintech, cyber and enterprise tech, life sciences and sustainability with alumni scaleup businesses including household names such as Bloom & Wild, Monzo and Revolut.

To meet the needs of the current economic and geopolitical environment, Grow London Global is an evolution of the MIBP programme with increased capacity to support more companies go global each year.  They also benefit from additional dedicated account managers with specialist sectoral expertise, and an even greater breadth of partners and connections whose knowledge and skills they can leverage. Grow London Global also offers a greater number of events and trade missions and carefully tailored programme content designed to meet the specific needs of each participating scaleup.

Trade missions introduce scaleups to global corporates and investors. They have helped more 1,000 London companies win trade deals worth more than £300m and raise more than £6.5bn of investment. Missions in the past year have included a <strong>Sustainability for Cities</strong> mission encompassing Rotterdam, Cologne and Berlin with participants meeting representatives from key companies including Bosch, Eurostar and Arcadis along with global real estate specialists Urban Land Institute and CBRE. A <strong>RetailTech</strong> mission in Paris involved BNP Paribas, Leroy Merlin and leading French luxury groups LVMH and Kering.

Two US trade missions took place in the latter part of 2022. A <strong>FinTech</strong> mission to New York included JP Morgan, Morgan Stanley and BMO while a <strong>US Life Sciences</strong> targeted the New York, New Jersey and Philadelphia markets with participating scaleups meeting with IBM, AT&T, Audible and Rutgers University.

During Birmingham Tech Week 2023, a new collaboration between the investment promotion agencies of the West Midlands and London was announced, with the aim of helping the region’s high-growth tech companies to achieve their global ambitions. The new partnership agreement, in collaboration with the West Midlands Growth Company (WMGC), will see the programme extended beyond London for the first time, with 10 high-growth tech companies from the West Midlands offered exclusive spaces.
<blockquote>“The programme was integral in introducing us to advisors and stakeholders that helped GripAble build our American market entry strategy, and back it up with investors, ultimately leading to our US launch and in closing of an investment round”</blockquote>
GripAble
<blockquote>“Fiskl would not have made as much progress had it not been part of the programme. Remarkable to see so many potential banking partners within a four-day online trade mission. Outside of the programme it can take up to 6 months to secure meetings with large banks and then another 18 months to develop the contract. Being part of the programme dramatically reduced this timeline”</blockquote>
Fiskl
<blockquote>“The programme was a worthwhile experience and has produced incredible results for Enferm. We will continue to remain involved as an alumni as we progress our US expansion”</blockquote>
Enferm",,Union Street,,,England,England,SE1 0LL,United Kingdom,"51.50362,-0.09859"
Lazaridis ScaleUp Program,15438,https://lazaridisinstitute.wlu.ca/programs/index.html,Technology & Communications,Technology,1,[Unclear online],,Lazaridis Institute,,1,International,ScaleUp Institute Endorsed/One to Watch,,Access to corporate collaboration|Access to peer networks|Leadership development/capacity building|Skills training|Support for R&D and/or innovation|Support to access public/private sector procurement,Free,Service,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/10/Lazaridis.png,,,Leadership,"Canada’s Lazaridis ScaleUp Programme is a 12-month programme of education, peer networking and mentorship. Based at Wilfrid Laurier University, it brings together the most promising scaleup tech companies from across Canada and connects them with a network of senior talent from successful firms.

Customised engagement is designed to help them to scale and compete globally while remaining domiciled in Canada. Cohorts of the most promising companies are selected from a diverse range of sectors including AI, medtech, fintech, agritech, tech-enabled retailers and oil and gas. Support is extended to the wider executive teams of scaleups rather than focusing solely on founders; this includes access to function-oriented peer groups.

Lazaridis runs all-cohort events to further expand trusted peer networks with speakers drawn from globally successful companies. The ScaleUp programme has been delivered on a hybrid model since the pandemic, allowing to complement and enrich in-person events with the best of virtual learning practices. In 2023, the current cohort participants were brought to Palo Alto and New York, in both cities, scaleups took advantage of the visit to book time with customers, partners, and potential investors.

Since its launch in 2016, Lazaridis has supported 829 executives and 83 scaling companies that have raised more than CA$2.2bn in new funding and created 4,285 jobs. Now on its eighth cohort, the programme has a strong impact on scaleups. Scaleups show an average annualised growth rate of 53% in employment and 114% in revenues, while all participating scaleups reported increased confidence or leadership capacity. Additionally, 89 per cent of the participating scaleups have now  identified new markets, , 67 per cent have now started exporting, and 78 per cent have accessed new markets including Europe, Asia, Middle East, UAE and USA.

In October 2022, Lazaridis also hosted its first in-person all-cohort event since 2019. Supported by serial entrepreneur Marnie Walker, the event gave more than 50 scaleups the opportunity to share experiences and learn from Lazaridis mentors and industry luminaries.

The programme’s commitment to diversity is a key priority with 46 percent of founders being from an under-represented group. Cleantech and greentech companies and social enterprises represent 20 percent of Lazaridis scaleups.
<blockquote>“One of the most valuable aspects of Lazaridis ScaleUp is the network that you create with your peers. Everyone is an absolute rock star!”</blockquote>
Marnee Brick, President and Co-Founder, TinyEYE Therapy Services
<blockquote>“I find the opportunity to interact with our cohort colleagues to be the most valuable part of the Lazaridis program. I had good conversations with several peers and gained insights and ideas about what we can implement in our company.”</blockquote>
Jesse Smith, VP of Product, Agency Analytics",,,,,,,nan,,
Match-Maker Ventures,15443,https://www.match-maker.ventures/,Finance,Fintech,,Provider type>Private sector,,Match-Maker Ventures,,,International,ScaleUp Institute Endorsed/One to Watch,1,Support to enter international markets,Delivered for a fee,Product,,,2015,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/MMV-2.png,Support Offer,,Access to markets,"Match-Maker Ventures (MMV) aims to build a world where business collaboration has no borders.  To achieve this, MMV matches growing businesses with established telecom corporations, accelerating the process of collaboration.

MMV’s approach is powered by robust networks and deep telecom industry knowledge. It leverages its network members who have executive experience in the telecom industry – called “Match-Makers” – to match scaling businesses with large corporates, managing the collaboration process from end to end. In the last year, MMV shifted its portfolio focus further on to scaleups to promote significant collaborations with corporate customers and continue to grow. Its ‘Lead Identification and Account Management’ function uses sophisticated analytical tools to identify business opportunities for its scaleup portfolio. To date these tools have mapped over 150,000 connections and MMV further increases scaleups’ visibility using its marketing channels. 

To manage the fact that selling to large corporates is not a direct process, participating companies are offered a phased programme. Scaling businesses are initially offered a market strategy and sales preparation that examines their business model, agrees on a sales approach and identifies the profile of the right target customer. They are also assigned a solution manager to support the joint activities. In the second phase, the network of Match-Makers then approaches priority companies, future partners, customers and resellers, to open doors and offer hands-on support to the company’s sales activities, from first discussions all the way to contract signature and scaling of the joint activities. 

MMV’s global network has a global footprint and is continuing to broaden its network especially in the telecom industry. It is also continuing to develop its presence in key strategic growth areas in Latin America and the Middle East. 

In 2022 MMV hosted 15+ deep dive sessions to support its portfolio of scaleups alongside their Deep Dive Festival aiming to facilitate business opportunities by giving scaleups the platform to share their value propositions and key business insights with industry experts to augment and accelerate business impact.",|,|,|,Vienna|,Vienna|,Vienna|,,Austria|Austria,AT|AT
North East Create Growth Programme,17996,https://www.wearecreative.uk/support/regional-growth-programmes/north-east-cgp/,"Creative, Digital, Film, Games & Media",Creative Industries,,Provider type>Public/hybrid mix,,Creative UK,,,North East,Scaling firm focus,,Access to peer networks|Leadership development/capacity building,Free,Programme,"North of Tyne Combined Authority, Durham County Council, Gateshead Council, Newcastle City Council, North Tyneside Council, Northumberland County Council, South Tyneside Council, Sunderland City Council, Generator, Sunderland Software City, North East Screen, New Writing North, Creative Fuse and North East Local Enterprise Partnership|DCMS",1,2022,,northeast@wearecreative.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2024/04/North-East-Create-Growth-Programme.png,Support Offer,,Leadership,"The North East Create Growth Programme delivers a bespoke business development and growth package tailored to the specific needs of high-growth potential creative businesses, with the aim of building businesses’ management skills and understanding of different finance routes to support business growth.",,,,,,,nan,,
Natwest Venture & Growth Finance,,https://www.natwest.com/corporates/financing/specialist-finance/venture-and-growth-finance.html,TECHNOLOGY & COMMUNICATIONS,Fintech,1,Provider type>Private sector,,Natwest,,,UK,ScaleUp Institute Endorsed/One to Watch,,Financial support/access,Delivered for a fee,Service,,,,Kit Maclaren,kit.maclaren@natwest.com,,Financier,REVENUE GROWTH FOR BUSINESSES,Finance and Risk Capital,"NatWest’s Venture Debt product is flexible debt finance of between £4m to £15 million for up to 4 years, targeted towards the specific needs of high-growth UK technology companies at the scale-up stage, which have already secured the backing of institutional Venture Capital investors.",EH2 2YB,London,,,,,nan,,
Innovation Accelerator Service,,https://www.gov.uk/government/publications/innovation-accelerator,"HEALTHCARE, LIFE SCIENCES & BIOTECH",Life Sciences,,Provider type>Public/hybrid mix,,WMCA,,,UK,Scaling firm focus,,"Skills training, Support for R&D and/or innovation",Free,Programme,DSIT,,,,,,Ecosystem,"REVENUE GROWTH FOR BUSINESSES, REGIONAL GROWTH",Infrastructure,,,,,,,,nan,,
ASCEND Scale Up Programme,,https://www.businessgrowthhub.com/programmes/ascend-scale-up/,Sector agnostic,Professional Services,,Provider type>Public/hybrid mix,,GM Business Growth Hub,,,North West,Scaling firm focus,,Leadership development/capacity building,Free,Programme,KPMG,,,,,,Ecosystem,REGIONAL GROWTH,Leadership,"The ASCEND Scale Up Programme is a 6-month programme tailored for local founders of high-growth businesses in Greater Manchester and help them rapidly scale. It includes workshops, personalised coaching and mentoring, funding opportunities and more. ",M1 5JW,Manchester,,,,,nan,,
Beyond,,https://gatherlcr.com/beyond,"CREATIVE, DIGITAL, FILM, GAMES & MEDIA",Creative Industries,1,Provider type>Public/hybrid mix,,Gather,,,North West,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building,Free,Programme,,,,,,,Ecosystem,REGIONAL GROWTH,Leadership,"Beyond is a bespoke scaleup support programme delivering consultancy and executive coaching across 6 months.  

Beyond's objective is to accelerate growth ambitions by catering to digital, creative, and tech firms in  the Liverpool City Region with 10+ employees. The programme has supported 45 companies to date, including some of the region's fastest-growing  scaleups, including Milexa Group, Redwigwam and SupplyWell. 

Beyond is a pivotal component of Gather - a comprehensive business support and ecosystem development initiative. To date, Gather has supported over 180 digital, creative, and tech businesses  across the Liverpool City Region. 

As of 2024, 45 scaling businesses have been supported so far by Beyond, with 579 jobs created. Scaling businesses who have participated in the programme report an average 65% turnover growth and 50% of participating businesses reported an increase in headcount. 

Moving forward, 89% of participating businesses anticipate 20%+ growth over the next 5 years. 
.“Beyond is an excellent program, because it was bespoke to our specific business needs we were able to get  started on implementing plans and finding out what our strengths and weaknesses are almost straight away.  We had a lot of anxiety about the future after the Pandemic and had a challenging year, but being part of this program helped us look forward and plan what we wanted the future to look like and how to get there. The  sessions brought so many ideas and ways of working that we have chosen to keep working with consultant  and coach.” 
Jen Fenner, MD, DefProc 
“Beyond has been a really high quality business support to us at an exciting time in our business growth. It has  given me confidence in the values of my organisation and my ability to plan a future vision.” 
Su Stringfellow, Founder, Harrison Stringfellow 
“Thank you to the Gather team, who through the Beyond programme connected Hi-impact with Susanna. Her  experience and advice has supported hi-impact to implement key strategic objectives and realign the business'  vision and steps for growth.” 
Kylie Reid, MD, Hi Impact 
“Being part of Beyond has been significant for us and the success of our business. The attention to detail the  team gives to carefully select your growth consultant meant that we were matched with someone who aligned  with what support we needed and our business values.” 
Chelsea Slater, Founder, InnovateHer 
",,,,,,,nan,,
